ArticleTitle,ArticleType,ArticleURL,ArticleDownUrl,ArticleDownUrl0,ArticleDIO,ArticleRef
Creating a climate for change: Communicating climate change and facilitating social change,[图书],https://www.google.com/books?hl=zh-CN&lr=&id=eypII4Hatg4C&oi=fnd&pg=PA31&dq=+%22climate+for+change%22&ots=QlYbQjb4gS&sig=zSy4zR113tHmdN9YMxvO0PtNEqM,,,,"Creating a climate for change: Communicating climate change and facilitating social change[M]. Cambridge University Press, 2007."
"Climate for change, or how to create a green modernity?",[PDF],https://journals.sagepub.com/doi/pdf/10.1177/0263276409358729,https://zero.sci-hub.se/3553/e6d0051b6f17bb78ea8b3f7843debaf9/beck2010.pdf,https://journals.sagepub.com/doi/pdf/10.1177/0263276409358729,10.1177/0263276409358729,"Beck U. Climate for change, or how to create a green modernity?[J]. Theory, Culture & Society, 2010, 27(2-3): 254-266."
Actions necessary to prevent childhood obesity: creating the climate for change,,https://www.cambridge.org/core/journals/journal-of-law-medicine-and-ethics/article/actions-necessary-to-prevent-childhood-obesity-creating-the-climate-for-change/C4D99B965B4CAF86AC6938B46A67FBBB,,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=419850d62f2d60b9a9d68041c9be342881c5b864,,"Schwartz M B, Brownell K D. Actions necessary to prevent childhood obesity: creating the climate for change[J]. Journal of Law, Medicine & Ethics, 2007, 35(1): 78-89."
A climate for change? Critical reflections on the Durban United Nations climate change conference,,https://journals.sagepub.com/doi/pdf/10.1177/0170840612464609,https://zero.sci-hub.se/4200/e83f7c92c31728a33086a91fc25ebb93/banerjee2012.pdf,https://openaccess.city.ac.uk/id/eprint/6085/1/,10.1177/0170840612464609,"Banerjee S B. A climate for change? Critical reflections on the Durban United Nations climate change conference[J]. Organization Studies, 2012, 33(12): 1761-1786."
Toward the social tipping point: Creating a climate for change,[PDF],https://www.researchgate.net/profile/Lisa-Dilling/publication/281164858_Toward_the_social_tipping_point_Creating_a_climate_for_change/links/574ee79b08aec50945bb56b5/Toward-the-social-tipping-point-Creating-a-climate-for-change.pdf,,https://www.researchgate.net/profile/Lisa-Dilling/publication/281164858_Toward_the_social_tipping_point_Creating_a_climate_for_change/links/574ee79b08aec50945bb56b5/Toward-the-social-tipping-point-Creating-a-climate-for-change.pdf,,"Moser S C, Dilling L. Toward the social tipping point: Creating a climate for change[J]. Creating a climate for change: Communicating climate change and facilitating social change, 2007: 491-516."
"Creating a climate for change: Interventions, efficacy and public discussion about climate change",,https://www.sciencedirect.com/science/article/pii/S0272494417300440,,https://www.sciencedirect.com/science/article/am/pii/S0272494417300440,,"Geiger N, Swim J K, Fraser J. Creating a climate for change: Interventions, efficacy and public discussion about climate change[J]. Journal of Environmental Psychology, 2017, 51: 104-116."
Climate for change,[图书],https://ui.adsabs.harvard.edu/abs/2000clch.book.....N/abstract,,,,Newell P. Climate for change[M]. 2000.
A cooling climate for change? Party polarization and the politics of global warming,,https://journals.sagepub.com/doi/pdf/10.1177/0002764212463361,https://moscow.sci-hub.se/3719/1df5412db6537c234e84c9fc9bccba30/guber2012.pdf,https://cssn.org/wp-content/uploads/2020/12/A-Cooling-Climate-for-Change-Party-Polarization-and-the-Politics-of-Global-Warming-Deborah-Guber.pdf,10.1177/0002764212463361,"Guber D L. A cooling climate for change? Party polarization and the politics of global warming[J]. American Behavioral Scientist, 2013, 57(1): 93-115."
A climate for change? The impacts of climate change on energy politics,,https://www.tandfonline.com/doi/abs/10.1080/09557571.2018.1508203,https://sci-hub.se/10.1080/09557571.2018.1508203,https://www.academia.edu/download/58165289/A_climate_for_change.pdf,10.1080/09557571.2018.1508203,"Newell P, Lane R. A climate for change? The impacts of climate change on energy politics[J]. Cambridge Review of International Affairs, 2020, 33(3): 347-364."
Work relations as a precursor to a psychological climate for change: The role of work group supervisors and peers,,https://www.emerald.com/insight/content/doi/10.1108/09534819910263668/full/html,https://moscow.sci-hub.se/3644/9ebc895b36a05cc0b8614f6397fd46fa/tierney1999.pdf,https://cdn1.booksdl.org/index.php?req=10.1108/09534819910263668,10.1108/09534819910263668,"Tierney P. Work relations as a precursor to a psychological climate for change: The role of work group supervisors and peers[J]. Journal of Organizational Change Management, 1999, 12(2): 120-134."
"Climate control? The relationship between leadership, climate for change, and work outcomes",,https://www.tandfonline.com/doi/abs/10.1080/09585192.2011.561228,https://moscow.sci-hub.se/3199/b2bfe00d3c9c07345c77781946ce2955/depoel2012.pdf,https://www.tandfonline.com/doi/pdf/10.1080/09585192.2011.561228,10.1080/09585192.2011.561228,"De Poel F M, Stoker J I, Van der Zee K I. Climate control? The relationship between leadership, climate for change, and work outcomes[J]. The International Journal of Human Resource Management, 2012, 23(4): 694-713."
A climate for change: 2019 Young Ambassador report,,https://apo.org.au/node/230771,,,,Australia U. A climate for change: 2019 Young Ambassador report[J]. 2019.
A climate for change: Global warming facts for faith-based decisions,[图书],https://www.google.com/books?hl=zh-CN&lr=&id=iOA2n86mYtAC&oi=fnd&pg=PP2&dq=+%22climate+for+change%22&ots=__WoBxl80v&sig=i72pm5bu50bI2v-CT-fGyezgGyY,,,,"Hayhoe K, Farley A. A climate for change: Global warming facts for faith-based decisions[M]. FaithWords, 2009."
