OldRef,NewRef
国家统计局,"付瑞平. 国家统计局:“统计云” 先行[J]. 中国信息化, 2011 (8): 68-69."
2021年度中国营商环境研究报告,"吴力. 欧盟营商环境出现退步[J]. 中国外资, 2022."
关于中央企业加快建设世界一流财务管理体系的指导意见国资发财评规〔2022〕23号,"徐玉德. 内部审计助力央企提升合规风险防控能力[J]. 中国内部审计, 2022."
"[1]何瑛.企业财务流程再造新趋势:财务共享服务[J].财会通讯,2010(06):110-113.DOI:10.16144/j.cnki.issn1002-8072.2010.06.017.","何瑛. 企业财务流程再造新趋势: 财务共享服务[J]. 财会通讯: 下, 2010 (2): 110-113."
"[1]杨寅,赵立彬.财务共享服务中心构建的关键影响因素分析[J].财会通讯,2016(26):58-62.DOI:10.16144/j.cnki.issn1002-8072.2016.26.017.","杨寅, 赵立彬. 财务共享服务中心构建的关键影响因素分析[J]. 财会通讯, 2016, 26."
"[1]张庆龙.中国企业集团财务共享中心:案例启示与对策思考[J].会计之友,2015(22):2-7.","张庆龙. 中国企业集团财务共享中心: 案例启示与对策思考[J]. 会计之友, 2015 (22): 2-7."
Moller P. Implementing Shared Services in Europe.Treasury Management International，1997，68（7）,"Moller P. Implementing shared services in Europe[J]. Treasury Management International, 1997, 6(7): 121-123."
Bergeron B. Essentials of Shared Services. New York: John Wiley&Sons Inc.，2003.,"Bergeron B. Essentials of shared services[M]. John Wiley & Sons, 2002."
"刘俊勇,韩琦,杨笑玉.DD集团建立财务共享服务中心的实践与启示[J].财务与会计,2015(06):32-35.","刘俊勇, 韩琦, 杨笑玉. DD 集团建立财务共享服务中心的实践与启示[J]. 财务与会计, 2015 (6): 32-35."
"金莲花,王华.财务共享服务中心的应用效果研究[J].会计之友,2016(05):21-24.","金莲花, 王华. 财务共享服务中心的应用效果研究[J]. 会计之友, 2016 (5): 21-24."
"Jiang, Sai. ‘Research on Big Data Audit Based on Financial Sharing Service Model Using Fuzzy AHP’. 1 Jan. 2021 : 8237 – 8246.","Jiang S. Research on big data audit based on financial sharing service model using fuzzy AHP[J]. Journal of Intelligent & Fuzzy Systems, 2021, 40(4): 8237-8246."
